	file_name	dates
99	001 - In re Jobdiva Inc	December 12 2016
100	013 - In re Affinity Labs of Texas LLC	May 5 2017
101	058 - Ericsson Inc v D-Link Systems Inc	August 17 2016
102	041 - Mohsenzadeh v Lee	June 25 2015
103	066 - Dell Inc v Acceleron LLC	March 12 2018
104	057 - In re Barnes And Noble Inc	Feb 27 2014
105	066 - AMS Associates Inc v US	March 16 2018
106	006 - One-E-Way Inc v International Trade Commission	June 12 2017
107	033 - Accent Packaging Inc v Leggett And Platt Inc	June 3 2016
108	036 - Abbott Point of Care Inc v Epocal Inc	Jan 13 2012
109	018 - K-TEC Inc v Vita-Mix Corp	September 29 2015
110	048 - Amkor Technology Inc v International Trade Com'n	August 22 2016
111	056 - StonCor Group Inc v Specialty Coatings Inc	July 16 2014
112	044 - Abbvie Inc v Mathilda and Terence Kennedy Institute of Rheumatology Trust	April 4 2017
113	004 - Visual Memory LLC v NVIDIA Corporation	August 15 2018
114	089 - In re TLI Communications LLC Patent Litigation	August 15 2017
115	023 - ScriptPro LLC v Innovation Associates Inc	May 2 2018
116	035 - Info-Hold Inc v Applied Media Technologies Corp	April 24 2015
117	046 - EMD Millipore Corp v AllPure Technologies Inc	Sept 29 2014
118	025 - RT Foods Inc v US	July 3 2014
119	024 - Eli Lilly and Company v Teva Parenteral Medicines Inc	November 30 2017
120	066 - Shire Development LLC v Watson Pharmaceuticals Inc	September 7 2016
121	033 - Multilayer Stretch Cling Film Holdings Inc v Berry Plastics Corporation	February 20 2018
122	31 - Tyrues v Shinseki	November 13 2013
123	047 - H-W Technology LC v Overstockcom Inc	May 6 2016
124	035 - Airbus SAS v Firepass Corp	July 17 2015
125	042 - Align Technology Inc v International Trade Com'n	July 18 2014
126	004 - QI Press Controls BV v Lee	July 23 2015
127	074 - Rovalma SA v Bohler-Edelstahl GmbH And Co KG	June 16 2017
128	03 - Ashley Furniture Industries Inc v US	Aug 19 2013
129	062 - Marvin Furniture (Shanghai) Co Ltd v US	March 11 2014
130	064 - Takeda Pharmaceuticals USA Inc v West-Ward Pharmaceutical Corp	November 9 2017
131	081 - In re Becton Dickinson and Co	April 12 2012
132	037 - Novo Nordisk AS v Caraco Pharmaceutical Laboratories Ltd	December 17 2013
133	062 - Lexmark Intern Inc v Impression Products Inc	May 30 2017
134	010 - KS Himpp v Hear-Wear Technologies LLC	September 22 2016
135	057 - Charles Mach Works Inc v Vermeer Mfg Co	July 26 2013
136	013 - Triton Tech of Texas LLC v Nintendo of America Inc	June 5 2017
137	059 - InterDigital Communications LLC v International Trade Com'n	September 3 2013
138	090 - In re Micron Technology Inc	August 21 2018
139	095 - ABB Turbo Systems AG v Turbousa Inc	March 31 2015
140	075 - Phigenix Inc v Immunogen Inc	May 2 2018
141	053 - Versata Development Group Inc v Lee	July 13 2015
