Hotel,Treatment,Num_Towels_Reused,reuse_dummy_recode,days_stay_max,daterank,avg_num_towels_reused,avg_reuse_rate,unique_spell
Bedford,Treatment,6,1,3,1,4.5,1,21217936
Bedford,Control,0,0,3,1,0,0,31617923
Bedford,Treatment,3,1,3,2,4.5,1,21217936
Bedford,Control,6,1,4,2,5,1,31817950
Bedford,Treatment,4,1,10,1,4,1,32517959
Bedford,Treatment,2,1,4,1,2,1,10217937
Bedford,Treatment,2,1,4,3,2.666667,1,30817933
Bedford,Control,3,1,11,4,3.4,0.6,32717930
Bedford,Treatment,5,1,14,2,2.5,0.5,30217928
Bedford,Control,0,0,13,4,1,0.4444444,32317943
Bedford,Treatment,0,0,3,2,0.5,0.5,10317948
Bedford,Treatment,0,0,2,1,0,0,30617930
Bedford,Treatment,3,1,4,1,2.5,1,10217923
Bedford,Treatment,0,0,4,1,0,0,31717937
Bedford,Control,3,1,3,2,2.5,1,32017959
Bedford,Control,4,1,3,2,3.5,1,20217936
Bedford,Control,4,1,4,2,4,1,21317951
Bedford,Treatment,5,1,4,1,5,1,10617923
Bedford,Treatment,2,1,4,2,2.5,1,10217923
Bedford,Treatment,4,1,3,1,3.5,1,20817936
Bedford,Treatment,0,0,3,2,0,0,31217950
Bedford,Treatment,0,0,4,3,2.333333,0.3333333,30117930
Bedford,Treatment,3,1,2,1,3,1,10217948
Bedford,Control,0,0,4,1,2,0.5,21717930
Bedford,Control,0,0,3,1,0,0,32017937
Bedford,Treatment,0,0,4,2,2.333333,0.3333333,30117930
Bedford,Control,0,0,3,1,0,0,31817923
Bedford,Control,5,1,3,1,2.5,0.5,31417923
Bedford,Treatment,0,0,4,3,2.333333,0.6666667,32117958
Bedford,Control,0,0,13,9,1,0.4444444,32317943
Bedford,Treatment,0,0,4,1,3,0.5,10317923
Bedford,Control,1,1,13,3,1,0.4444444,32317943
Bedford,Control,3,1,4,1,3,1,21817944
Bedford,Control,4,1,3,1,4,1,31917938
Bedford,Treatment,4,1,10,2,4,1,32517959
Bedford,Control,6,1,6,1,5.333333,1,31117937
Bedford,Treatment,1,1,3,1,0.5,0.5,10317948
Bedford,Treatment,1,1,2,1,1,1,30217945
Bedford,Treatment,2,1,2,1,2,1,21117937
Bedford,Control,0,0,3,1,0,0,31117951
Bedford,Control,0,0,2,1,0,0,32417929
Bedford,Treatment,4,1,3,1,4,1,31217923
Bedford,Control,2,1,3,1,2.5,1,32017959
Bedford,Control,8,1,3,2,6.5,1,31917930
Bedford,Treatment,4,1,2,1,4,1,10717948
Bedford,Treatment,5,1,3,1,4.5,1,32517946
Bedford,Treatment,0,0,4,1,2,0.6666667,31217930
Bedford,Control,4,1,27,2,1.333333,0.3333333,10517929
Bedford,Treatment,2,1,4,2,2,0.6666667,31217930
Bedford,Control,0,0,3,2,0,0,31517958
Bedford,Treatment,0,0,4,1,1,0.5,32117951
Bedford,Treatment,0,0,11,1,2,0.5,10717918
Bedford,Control,4,1,3,1,4,1,32017923
Bedford,Treatment,0,0,2,1,0,0,31717948
Bedford,Control,0,0,2,1,0,0,31917955
Bedford,Treatment,4,1,4,1,4,1,10117937
Bedford,Control,4,1,2,1,4,1,32217924
Bedford,Control,1,1,2,1,1,1,20217953
Bedford,Control,4,1,4,2,2,0.5,21717930
Bedford,Control,0,0,2,1,0,0,31517948
Bedford,Control,4,1,3,2,4,1,32017923
Bedford,Control,4,1,3,1,4,1,31617937
Bedford,Control,0,0,2,1,0,0,32417923
Bedford,Control,4,1,6,2,5.333333,1,31117937
Bedford,Treatment,3,1,3,1,3,1,31017936
Bedford,Treatment,3,1,4,1,3,1,21117944
Bedford,Control,0,0,2,1,0,0,21317941
Bedford,Treatment,3,1,3,1,2.5,1,21017936
Bedford,Treatment,0,0,2,1,0,0,31717955
Bedford,Treatment,2,1,4,3,1.666667,0.6666667,22617930
Bedford,Treatment,1,1,3,1,1,1,10617936
Bedford,Treatment,3,1,6,1,1.5,0.5,21217929
Bedford,Control,6,1,44,3,5.333333,1,21318258
Bedford,Treatment,5,1,2,1,5,1,32617924
Bedford,Control,0,0,2,1,0,0,31917948
Bedford,Control,4,1,3,1,4,1,31317923
Bedford,Control,1,1,2,1,1,1,21417952
Bedford,Treatment,0,0,4,2,0,0,31717937
Bedford,Treatment,6,1,2,1,6,1,21917943
Bedford,Treatment,2,1,2,1,2,1,22117941
Bedford,Control,4,1,3,2,4.5,1,32217951
Bedford,Treatment,3,1,4,2,1.5,0.5,30417944
Bedford,Control,0,0,27,1,1.333333,0.3333333,10517929
Bedford,Treatment,,,7,2,0,0,10717934
Bedford,Treatment,0,0,3,1,0,0,32517950
Bedford,Control,5,1,4,1,5,1,32417944
Bedford,Treatment,4,1,2,1,4,1,21017952
Bedford,Control,1,1,2,1,1,1,32417948
Bedford,Treatment,4,1,2,1,4,1,10717953
Bedford,Control,0,0,3,1,0,0,32417936
Bedford,Control,4,1,,,4,1,318
Bedford,Treatment,0,0,4,1,0,0,30517944
Bedford,Treatment,4,1,3,1,4.5,1,32517930
Bedford,Treatment,7,1,4,1,2.333333,0.3333333,30117930
Bedford,Treatment,0,0,4,1,0,0,30517958
Bedford,Control,7,1,44,1,5.333333,1,21318258
Bedford,Control,6,1,4,1,6,1,20717944
Bedford,Treatment,0,0,3,1,1.5,0.5,32617930
Bedford,Treatment,4,1,4,1,4,1,10917936
Bedford,Control,0,0,3,2,2.5,0.5,31417923
Bedford,Treatment,4,1,3,1,4,1,30417936
Bedford,Control,5,1,4,2,5,1,32417944
Bedford,Treatment,3,1,4,1,3,1,21017944
Bedford,Treatment,4,1,5,1,4,1,30417957
Bedford,Control,5,1,4,1,5,1,21717944
Bedford,Control,0,0,,,0,0,324
Bedford,Control,3,1,13,1,1,0.4444444,32317943
Bedford,Control,2,1,13,2,1,0.4444444,32317943
La Grange,Control,4,1,21,1,4,1,1062017912
La Grange,Control,1,1,7,4,0.25,0.25,1044017940
La Grange,Treatment,1,1,2,2,2,1,1020217931
La Grange,Control,3,1,7,2,2.2,0.6,1043417930
La Grange,Treatment,2,1,1,1,2,1,1061217954
La Grange,Control,0,0,48,10,1.52381,0.6190476,1041817907
La Grange,Treatment,4,1,14,2,1.6,0.8,1041017920
La Grange,Treatment,0,0,2,1,0,0,1043817944
La Grange,Control,0,0,3,1,0,0,1043017939
La Grange,Treatment,2,1,14,1,1.6,0.8,1041017920
