	file_name	citations	regulations	patents
0	001 - Intellectual Ventures I LLC v Motorola Mobility LLC	['870 F.3d 1320', '176 F.Supp.3d 405', '72 F.Supp.3d 496', '626 F.3d 1197', '582 F.3d 447', '598 F.3d 1336', '659 F.3d 1345', '176 F.Supp.3d 426', '811 F.3d 1359', '415 F.3d 1303', '157 F.3d 1340', '199 F.3d 1295', '688 F.3d 1342', '340 F.3d 1314', '176 F.Supp.3d 427', '598 F.3d 831', '699 F.3d 1305', '176 F.Supp.3d 421', '631 F.3d 1279', '418 F.3d 1282', '631 F.3d 1283', '176 F.Supp.3d 422', '631 F.3d 1284', '418 F.3d 1317', '631 F.3d 1285', '176 F.Supp.3d at 423', '134 S.Ct. 2111', '189 L.Ed.2d 52', '176 F.Supp.3d 437', '176 F.Supp.3d 439', '800 F.2d 1091', '686 F.3d 1322', '550 U.S. 398', '127 S.Ct. 1727', '167 L.Ed.2d 705', '340 U.S. 147', '71 S.Ct. 127', '95 L.Ed. 162', '340 U.S. 474', '71 S.Ct. 456', '95 L.Ed. 456', '686 F.3d 1333', '415 F.3d 1318', '892 F.2d 1547', '386 F.3d 21', '229 F.3d 617']	['28 USC § 1292', '35 USC § 112', '35 USC § 271', '35 USC § 103']	['5,379,340', '5,436,857', '5,553,145', '5,798,733', '7,549,007', '7,810,144', '7,120,462']
1	051 - Ohio Willow Wood Co v Alps South LLC	['813 F.3d 1350', '2012 WL 2196083', '2012 WL 3283437', '2012 WL 3309635', '735 F.3d 1333', '2014 WL 4775374', '735 F.3d 1344', '649 F.3d 1276', '768 F.3d 1185', '732 F.3d 1339', '735 F.3d 1345', '649 F.3d 1291', '649 F.3d 1290', '694 F.3d 1367', '537 F.3d 1357', '526 U.S. 473', '119 S.Ct. 1430', '143 L.Ed.2d 635', '292 F.3d 1360']	['37 CFR § 1']	['2,196,083', '3,283,437', '3,309,635', '4,775,374', '5,830,237', '6,964,688', '7,291,182', '8,523,951']
2	001 - In re Jobdiva Inc	['843 F.3d 936', '2015 WL 2170162', '2015 WL 3542849', '135 S.Ct. 1293', '191 L.Ed.2d 222', '229 F.3d 1080', '229 F.3d 1087', '821 F.2d 614', '786 F.3d 960', '2006 WL 1258813', '229 F.3d 1088', '686 F.3d 1376', '686 F.3d 1381']	['37 CFR § 2', '15 USC § 1125', '28 USC § 1295', '15 USC § 1051', '15 USC § 1064', '15 USC § 1058', '15 USC § 1127']	['2,170,162', '3,542,849', '9,205,082', '2,851,917', '3,013,235', '7,621,372', '1,258,813']
3	058 - Ericsson Inc v D-Link Systems Inc	['773 F.3d 1201', '2013 WL 4046225', '1 packet out of 100', '2013 WL 949378', '602 F.3d 1325', '716 F.3d 138', '744 F.3d 1272', '687 F.3d 1292', '677 F.3d 1375', '702 F.3d 1351', '626 F.3d 1197', '555 F.3d 984', '626 F.3d 1204', '287 F.3d 1108', '287 F.3d 1118', '555 F.3d 995', '717 F.3d 1255', '626 F.3d at 1204', '717 F.3d 1263', '659 F.3d 1121', '415 F.3d 1303', '415 F.3d 1323', '370 F.3d 1354', '370 F.3d 1362', '576 F.3d 1348', '134 S.Ct. 2111', '189 L.Ed.2d 52', '471 F.3d 1293', '601 F.3d 1319', '709 F.3d 1348', '550 F.3d 1325', '576 F.3d 1359', '601 F.3d 1331', '550 F.3d 1335', '709 F.3d 1362', '692 F.3d 1301', '580 F.3d 1301', '463 F.3d 1299', '598 F.3d 831', '952 F.2d 119', '502 U.S. 46', '112 S.Ct. 466', '116 L.Ed.2d 371', '839 F.2d 1556', '580 F.3d 1323', '694 F.3d 10', '602 F.3d 1331', '489 F.3d 727', '98 F.3d 194', '358 F.3d 1356', '767 F.3d 1308', '767 F.3d 1326', '111 U.S. 120', '4 S.Ct. 291', '28 L.Ed. 371', '235 U.S. 641', '35 S.Ct. 221', '59 L.Ed. 398', '111 U.S. 121', '694 F.3d 51', '632 F.3d 1292', '767 F.3d 1327', '632 F.3d 1320', '694 F.3d 77', '488 F.3d 973', '318 F.Supp. 1116', '767 F.3d 1330', '757 F.3d 1286', '694 F.3d 1312', '304 F.3d 1216', '310 U.S. 150', '60 S.Ct. 811', '84 L.Ed. 1129', '2014 WL 2738216', '2013 WL 5593609', '2013 WL 2111217', '318 F.Supp. 1120', '225 U.S. 604', '32 S.Ct. 691', '56 L.Ed. 1222', '632 F.3d 1318', '580 F.3d 1336', '739 F.2d 1576', '215 F.3d 1261', '634 F.3d 808', '24 F.3d 372', '347 F.3d 448', '744 F.2d 293', '79 A.D.2d 237', '436 N.Y.S.2d 496', '476 F.Supp.2d 414', '476 F.Supp.2d 423', '415 F.3d 1321', '158 F.3d 1243', '415 F.3d 1316', '289 F.3d 801', '182 F.3d 1298', '285 F.3d 1029', '509 U.S. 579', '113 S.Ct. 2786', '125 L.Ed.2d 469', '767 F.3d 1328', '69 F.3d 512']	['28 USC § 1295', '35 USC § 271', '35 USC § 284', '35 USC § 281']	['4,046,225', '6,424,625', '6,466,568', '6,772,215', '2,738,216', '5,593,609', '2,111,217']
4	035 - Info-Hold Inc v Applied Media Technologies Corp	['783 F.3d 1262', '2013 WL 1787007', '2012 WL 3930376', '135 S.Ct. 831', '415 F.3d 1303', '669 F.3d 1362', '135 S.Ct. 841', '2015 WL 1501565', '599 F.3d 1325', '131 S.Ct. 3020', '180 L.Ed.2d 844', '197 F.3d 1377', '358 F.3d 898', '308 F.3d 1193', '538 U.S. 1058', '123 S.Ct. 2230', '155 L.Ed.2d 1108', '262 F.3d 1258', '90 F.3d 1576', '358 F.3d 907', '197 F.3d 1382']	['28 USC § 1295']	['1,787,007', '5,991,374', '6,741,683', '3,930,376', '1,501,565']
5	042 - Align Technology Inc v International Trade Com'n	['771 F.3d 1317', '2006 WL 3462199', '660 F.3d 1322', '495 U.S. 641', '110 S.Ct. 2043', '109 L.Ed.2d 659', '2010 WL 1436458', '701 F.3d 1367', '318 U.S. 80', '63 S.Ct. 454', '87 L.Ed. 626', '371 U.S. 156', '83 S.Ct. 239', '9 L.Ed.2d 207', '713 F.2d 795', '418 U.S. 683', '94 S.Ct. 3090', '41 L.Ed.2d 1039', '397 U.S. 532', '90 S.Ct. 1288', '25 L.Ed.2d 547', '742 F.2d 1421']	['19 USC § 1337', '19 CFR § 210', '28 USC § 1295', '5 USC § 706', '19 CFR § 201']	['6,227,850', '6,318,994', '6,394,801', '6,398,548', '6,450,807', '6,471,511', '6,602,070', '6,629,840', '6,685,469', '6,699,037', '6,722,880', '6,729,876', '3,462,199', '1,436,458']
6	03 - Ashley Furniture Industries Inc v US	['734 F.3d 1306', '556 F.3d 1337', '818 F.Supp.2d 1355', '816 F.Supp.2d 1330', '672 F.3d 1041', '296 F.3d 1378', '818 F.Supp.2d 1366', '816 F.Supp.2d 1337', '556 F.3d 1359', '818 F.Supp.2d 1361', '816 F.Supp.2d 1336', '684 F.3d 1374', '556 F.3d 1354', '556 F.3d 1357', '684 F.3d 1382', '556 F.3d 1353', '583 F.3d 1340', '556 F.3d 1351', '684 F.3d 1381', '684 F.3d 1380']	['19 USC § 1675c', '28 USC § 1295', '19 USC § 1673a', '19 USC § 1333', '120 Stat. 4']	[]
7	010 - KS Himpp v Hear-Wear Technologies LLC	['751 F.3d 1362', '2012 WL 2929630', '381 F.3d 1125', '203 F.3d 1305', '305 U.S. 197', '59 S.Ct. 206', '83 L.Ed. 126', '383 U.S. 1', '86 S.Ct. 684', '15 L.Ed.2d 545', '550 U.S. 398', '127 S.Ct. 1727', '167 L.Ed.2d 705', '550 U.S. 406', '258 F.3d 1379', '550 U.S. 419', '733 F.3d 1355', '258 F.3d 1385', '485 F.3d 1157', '550 U.S. 416', '393 U.S. 87', '89 S.Ct. 280', '21 L.Ed.2d 219', '398 F.3d 1342', '692 F.3d 1289', '332 U.S. 194', '67 S.Ct. 1575', '91 L.Ed. 1995', '696 F.3d 1379', '131 S.Ct. 2238', '180 L.Ed.2d 131', '725 F.2d 1350', '153 U.S. 120', '14 S.Ct. 772', '38 L.Ed. 657', '527 U.S. 150', '119 S.Ct. 1816', '144 L.Ed.2d 143', '132 S.Ct. 1690', '182 L.Ed.2d 704', '550 U.S. 415', '550 U.S. 418', '587 F.3d 1324', '57 C.C.P.A. 1023', '424 F.2d 1088', '49 C.C.P.A. 779', '296 F.2d 230', '471 F.2d 1405', '52 C.C.P.A. 930', '340 F.2d 965', '50 C.C.P.A. 1288', '317 F.2d 941', '48 C.C.P.A. 992', '289 F.2d 522', '41 C.C.P.A. 864', '212 F.2d 197', '587 F.3d 1330', '608 F.3d 1333', '424 F.2d 1091']	['37 CFR § 1', '28 USC § 1295', '35 USC § 103', '35 USC § 282', '125 Stat. 284']	['2,929,630', '3,123,678', '7,016,512']
8	028 - Shenyang Yuanda Aluminum Industry Engineering Co Ltd v US	['776 F.3d 1351', '961 F.Supp.2d 1291', '709 F.3d 1134', '296 F.3d 1087', '60 F.3d 778', '674 F.3d 1343', '164 F.3d 596', '484 F.3d 1371', '296 F.3d 1097', '254 F.3d 1068', '161 F.3d 1365', '161 F.3d 1369', '620 F.3d 1350', '296 F.3d 1096', '745 F.Supp. 718', '961 F.Supp.2d 1298', '674 F.3d 1345', '254 F.3d 1076', '537 U.S. 149', '123 S.Ct. 748', '154 L.Ed.2d 653', '367 U.S. 303', '81 S.Ct. 1579', '6 L.Ed.2d 859']	['19 CFR § 351', '19 USC § 1677', '28 USC § 1295']	[]
